  ep 31/50 : ✓ t_succ= 51 max_z=1.149 hold=0.46 | running=19%
  ep 32/50 : ✗ t_succ=  - max_z=0.827 hold=0.00 | running=19%
  ep 33/50 : ✗ t_succ=  - max_z=0.826 hold=0.00 | running=18%
  ep 34/50 : ✗ t_succ=  - max_z=0.825 hold=0.00 | running=18%
  ep 35/50 : ✗ t_succ=  - max_z=0.827 hold=0.00 | running=17%
  ep 36/50 : ✗ t_succ=  - max_z=0.828 hold=0.00 | running=17%
  ep 37/50 : ✗ t_succ=  - max_z=0.827 hold=0.00 | running=16%
  ep 38/50 : ✗ t_succ=  - max_z=0.828 hold=0.00 | running=16%
  ep 39/50 : ✗ t_succ=  - max_z=0.829 hold=0.00 | running=15%
  ep 40/50 : ✗ t_succ=  - max_z=0.828 hold=0.00 | running=15%
  ep 41/50 : ✗ t_succ=  - max_z=0.829 hold=0.00 | running=15%
  ep 42/50 : ✗ t_succ=  - max_z=0.829 hold=0.00 | running=14%
  ep 43/50 : ✗ t_succ=  - max_z=0.829 hold=0.00 | running=14%
  ep 44/50 : ✗ t_succ=  - max_z=0.833 hold=0.00 | running=14%
  ep 45/50 : ✗ t_succ=  - max_z=0.830 hold=0.00 | running=13%
  ep 46/50 : ✓ t_succ= 74 max_z=1.044 hold=0.50 | running=15%
  ep 47/50 : ✗ t_succ=  - max_z=0.831 hold=0.00 | running=15%
  ep 48/50 : ✗ t_succ=  - max_z=0.832 hold=0.00 | running=15%
  ep 49/50 : ✓ t_succ= 84 max_z=1.022 hold=0.36 | running=16%
  ep 50/50 : ✗ t_succ=  - max_z=0.830 hold=0.00 | running=16%
  => steps=2: success=16% t_succ=57.0 max_z=0.866

##### num_inference_steps = 1 #####
  ep  1/50 : ✗ t_succ=  - max_z=0.821 hold=0.00 | running=0%
  ep  2/50 : ✗ t_succ=  - max_z=0.821 hold=0.00 | running=0%
  ep  3/50 : ✗ t_succ=  - max_z=0.821 hold=0.00 | running=0%
  ep  4/50 : ✗ t_succ=  - max_z=0.821 hold=0.00 | running=0%
  ep  5/50 : ✗ t_succ=  - max_z=0.822 hold=0.00 | running=0%
  ep  6/50 : ✗ t_succ=  - max_z=0.823 hold=0.00 | running=0%
  ep  7/50 : ✗ t_succ=  - max_z=0.824 hold=0.00 | running=0%
  ep  8/50 : ✗ t_succ=  - max_z=0.824 hold=0.00 | running=0%
  ep  9/50 : ✗ t_succ=  - max_z=0.825 hold=0.00 | running=0%
  ep 10/50 : ✗ t_succ=  - max_z=0.827 hold=0.00 | running=0%
  ep 11/50 : ✗ t_succ=  - max_z=0.827 hold=0.00 | running=0%
  ep 12/50 : ✗ t_succ=  - max_z=0.827 hold=0.00 | running=0%
  ep 13/50 : ✗ t_succ=  - max_z=0.827 hold=0.00 | running=0%
  ep 14/50 : ✗ t_succ=  - max_z=0.828 hold=0.00 | running=0%
  ep 15/50 : ✗ t_succ=  - max_z=0.830 hold=0.00 | running=0%
  ep 16/50 : ✗ t_succ=  - max_z=0.830 hold=0.00 | running=0%
  ep 17/50 : ✗ t_succ=  - max_z=0.829 hold=0.00 | running=0%
  ep 18/50 : ✗ t_succ=  - max_z=0.830 hold=0.00 | running=0%
  ep 19/50 : ✗ t_succ=  - max_z=0.830 hold=0.00 | running=0%
  ep 20/50 : ✗ t_succ=  - max_z=0.831 hold=0.00 | running=0%
  ep 21/50 : ✗ t_succ=  - max_z=0.832 hold=0.00 | running=0%
  ep 22/50 : ✗ t_succ=  - max_z=0.831 hold=0.00 | running=0%
  ep 23/50 : ✗ t_succ=  - max_z=0.831 hold=0.00 | running=0%
  ep 24/50 : ✗ t_succ=  - max_z=0.831 hold=0.00 | running=0%
  ep 25/50 : ✗ t_succ=  - max_z=0.831 hold=0.00 | running=0%
  ep 26/50 : ✗ t_succ=  - max_z=0.821 hold=0.00 | running=0%
  ep 27/50 : ✗ t_succ=  - max_z=0.821 hold=0.00 | running=0%
  ep 28/50 : ✗ t_succ=  - max_z=0.821 hold=0.00 | running=0%
  ep 29/50 : ✗ t_succ=  - max_z=0.822 hold=0.00 | running=0%
  ep 30/50 : ✗ t_succ=  - max_z=0.822 hold=0.00 | running=0%
  ep 31/50 : ✗ t_succ=  - max_z=0.823 hold=0.00 | running=0%
  ep 32/50 : ✗ t_succ=  - max_z=0.824 hold=0.00 | running=0%
  ep 33/50 : ✗ t_succ=  - max_z=0.826 hold=0.00 | running=0%
  ep 34/50 : ✗ t_succ=  - max_z=0.825 hold=0.00 | running=0%
  ep 35/50 : ✗ t_succ=  - max_z=0.827 hold=0.00 | running=0%
  ep 36/50 : ✗ t_succ=  - max_z=0.828 hold=0.00 | running=0%
  ep 37/50 : ✗ t_succ=  - max_z=0.827 hold=0.00 | running=0%
  ep 38/50 : ✗ t_succ=  - max_z=0.828 hold=0.00 | running=0%
  ep 39/50 : ✗ t_succ=  - max_z=0.829 hold=0.00 | running=0%
  ep 40/50 : ✗ t_succ=  - max_z=0.828 hold=0.00 | running=0%
  ep 41/50 : ✗ t_succ=  - max_z=0.829 hold=0.00 | running=0%
  ep 42/50 : ✗ t_succ=  - max_z=0.829 hold=0.00 | running=0%
  ep 43/50 : ✗ t_succ=  - max_z=0.829 hold=0.00 | running=0%
  ep 44/50 : ✗ t_succ=  - max_z=0.830 hold=0.00 | running=0%
  ep 45/50 : ✗ t_succ=  - max_z=0.830 hold=0.00 | running=0%
  ep 46/50 : ✗ t_succ=  - max_z=0.832 hold=0.00 | running=0%
  ep 47/50 : ✗ t_succ=  - max_z=0.831 hold=0.00 | running=0%
  ep 48/50 : ✗ t_succ=  - max_z=0.832 hold=0.00 | running=0%
  ep 49/50 : ✗ t_succ=  - max_z=0.831 hold=0.00 | running=0%
  ep 50/50 : ✗ t_succ=  - max_z=0.830 hold=0.00 | running=0%
  => steps=1: success=0% t_succ=None max_z=0.827

JSON: results/runs/lift/51_unet_sweep_eval/inference_steps.json
Plot: results/runs/lift/51_unet_sweep_eval/inference_steps.png
